POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),mes,POS. FEV.
23º,EFFA V21,220,"0,42%",185,"0,51%","18,92%",mar_2026,22º
24º,VW TRUCK E BUS EXPRESS,220,"0,42%",204,"0,56%","7,84%",mar_2026,19º
25º,PEUGEOT EXPERT,216,"0,42%",130,"0,36%","66,15%",mar_2026,26º
26º,IVECO DAILY,182,"0,35%",177,"0,49%","2,82%",mar_2026,24º
27º,RENAULT KANGOO,148,"0,29%",175,"0,48%","-15,43%",mar_2026,25º
28º,IVECO DAILY 30-130,142,"0,27%",77,"0,21%","84,42%",mar_2026,32º
29º,BYD SHARK,135,"0,26%",51,"0,14%","164,71%",mar_2026,36º
30º,CITROËN JUMPY,126,"0,24%",92,"0,25%","36,96%",mar_2026,28º
31º,VW AMAROK,125,"0,24%",233,"0,64%","-46,35%",mar_2026,18º
32º,FORD F150,109,"0,21%",75,"0,21%","45,33%",mar_2026,33º
33º,MERCEDES-BENZ SPRINTER 317,87,"0,17%",53,"0,15%","64,15%",mar_2026,35º
34º,FOTON AUMARK S 315,80,"0,15%",78,"0,22%","2,56%",mar_2026,31º
35º,MERCEDES-BENZ SPRINTER 417,78,"0,15%",55,"0,15%","41,82%",mar_2026,34º
36º,CHEVROLET SILVERADO,76,"0,15%",86,"0,24%","-11,63%",mar_2026,29º
37º,PEUGEOT PARTNER,56,"0,11%",34,"0,09%","64,71%",mar_2026,41º
38º,SHINERAY TLUX,54,"0,10%",45,"0,12%","20,00%",mar_2026,37º
39º,PEUGEOT BOXER,51,"0,10%",18,"0,05%","183,33%",mar_2026,45º
40º,FOTON TUNLAND,35,"0,07%",44,"0,12%","-20,45%",mar_2026,38º
41º,EFFA V22,33,"0,06%",34,"0,09%","-2,94%",mar_2026,40º
42º,CITROËN JUMPER,31,"0,06%",28,"0,08%","10,71%",mar_2026,42º
43º,JAC HUNTER,27,"0,05%",39,"0,11%","-30,77%",mar_2026,39º
44º,FEVER ORCA*,20,"0,04%",0,"0,00%",-,mar_2026,74º
45º,MERCEDES-BENZ ESPRINTER 320*,17,"0,03%",0,"0,00%",-,mar_2026,96º
46º,RAM 3500,17,"0,03%",25,"0,07%","-32,00%",mar_2026,43º
47º,IVECO DAILY 35-180,16,"0,03%",10,"0,03%","60,00%",mar_2026,46º
48º,EFFA V25,14,"0,03%",9,"0,02%","55,56%",mar_2026,47º
49º,FARIZON V6E*,11,"0,02%",0,"0,00%",-,mar_2026,111º
50º,HYUNDAI HR,10,"0,02%",23,"0,06%","-56,52%",mar_2026,44º
...,...,...,...,...,...,...,mar_2026,...
,TOTAL COMERCIAIS,51.848,"100,00%",36.245,"100,00%","43,05%",mar_2026,
